course,section,day,start,end,instructor,venue,size
IS100,S1,1,8:30,11:45,Albert KHOO,Seminar Rm 2-1,10
IS100,S2,2,12:00,15:15,Billy KHOO,Seminar Rm 2-2,10
IS101,S1,3,15:30,18:45,Cheri KHOO,Seminar Rm 2-3,10
IS101,S2,4,8:30,11:45,Daniel KHOO,Seminar Rm 2-4,10
IS101,S3,5,12:00,15:15,Ernest KHOO,Seminar Rm 2-5,10
IS102,S1,1,15:30,18:45,Felicia KHOO,Seminar Rm 2-6,10
IS102,S2,2,8:30,11:45,Gerald KHOO,Seminar Rm 2-7,10
IS102,S3,3,12:00,15:15,Henry KHOO,Seminar Rm 2-8,10
IS103,S1,4,15:30,18:45,Ivy KHOO,Seminar Rm 2-9,10
IS103,S2,5,8:30,11:45,Jason KHOO,Seminar Rm 2-10,10
IS103,S3,1,12:00,15:15,Kat KHOO,Seminar Rm 2-11,10
IS104,S1,2,15:30,18:45,Linn KHOO,Seminar Rm 2-12,10
IS104,S2,3,8:30,11:45,Michael KHOO,Seminar Rm 2-13,10
IS105,S1,4,12:00,15:15,Nathaniel KHOO,Seminar Rm 2-14,10
IS105,S2,5,15:30,18:45,Oreilly KHOO,Seminar Rm 2-15,10
IS106,S1,1,8:30,11:45,Peter KHOO,Seminar Rm 2-16,10
IS106,S2,2,12:00,15:15,Queen KHOO,Seminar Rm 2-17,10
IS107,S1,3,15:30,18:45,Ray KHOO,Seminar Rm 2-18,10
IS107,S2,4,8:30,11:45,Simon KHOO,Seminar Rm 2-19,10
IS108,S1,5,12:00,15:15,Tim KHOO,Seminar Rm 2-20,10
IS109,S1,2,8:30,11:45,Vincent KHOO,Seminar Rm 2-22,10
IS109,S2,3,12:00,15:15,Winnie KHOO,Seminar Rm 2-23,10
IS200,S1,4,15:30,18:45,Xtra KHOO,Seminar Rm 2-24,10
IS201,S1,5,8:30,11:45,Yale KHOO,Seminar Rm 2-25,10
IS202,S1,1,12:00,15:15,Zen KHOO,Seminar Rm 2-26,10
IS203,S1,2,15:30,18:45,Anderson KHOO,Seminar Rm 2-27,10
IS204,S1,3,8:30,11:45,Bing KHOO,Seminar Rm 2-28,10
IS205,S1,4,12:00,15:15,Carlo KHOO,Seminar Rm 2-29,10
IS206,S1,5,15:30,18:45,Dickson KHOO,Seminar Rm 2-30,10
IS207,S1,1,8:30,11:45,Edmund KHOO,Seminar Rm 2-31,10
IS208,S1,2,12:00,15:15,Febrice KHOO,Seminar Rm 2-32,10
MGMT001,S1,3,8:30,11:45,Gavin KHOO,Seminar Rm 2-33,10
MGMT002,S1,3,15:30,18:45,Bob KHOO,Seminar Rm 2-37,10
ECON001,S1,4,8:30,11:45,John KHOO,Seminar Rm 2-34,10
ECON002,S1,5,15:30,18:45,Andy KHOO,Seminar Rm 2-35,10
