userid,password,name,school,edollar
amy.ng.2009,qwerty128,Amy NG,SIS,200
ben.ng.2009,qwerty129,Ben NG,SIS,200
calvin.ng.2009,qwerty130,Calvin NG,SIS,200
dawn.ng.2009,qwerty131,Dawn NG,SIS,200
eddy.ng.2009,qwerty132,Eddy NG,SIS,200
fred.ng.2009,qwerty133,Fred NG,SIS,200
gary.ng.2009,qwerty134,Gary NG,SIS,200
harry.ng.2009,qwerty135,Harry NG,SIS,200
ian.ng.2009,qwerty136,Ian NG,SIS,200
jerry.ng.2009,qwerty137,Jerry NG,SIS,200
kelly.ng.2009,qwerty138,Kelly NG,SIS,200
larry.ng.2009,qwerty139,Larry NG,SIS,200
maggie.ng.2009,qwerty140,Maggie NG,SIS,200
neilson.ng.2009,qwerty141,Neilson NG,SIS,200
olivia.ng.2009,qwerty142,Olivia NG,SIS,200
parker.ng.2009,qwerty143,Parker NG,SOE,200
quiten.ng.2009,qwerty144,Quiten NG,SOE,200
ricky.ng.2009,qwerty145,Ricky NG,SOE,200
steven.ng.2009,qwerty146,Steven NG,SOE,200
timothy.ng.2009,qwerty147,Timothy NG,SOE,200
ursala.ng.2009,qwerty148,Ursala NG,SOE,200
valarie.ng.2009,qwerty149,Valarie NG,SOB,200
winston.ng.2009,qwerty150,Winston NG,SOB,200
xavier.ng.2009,qwerty151,Xavier NG,SOB,200
yasir.ng.2009,qwerty152,Yasir NG,SOB,200
zac.ng.2009,qwerty153,Zac NG,SOB,200
